"weeksábado" "weeksexta" "weekterça" "no2_11" "weeksábado:no_7" "weeksábado:no_9" "weeksegunda:no_9" "weekquarta:no_10" "weekterça:no_10" "weekquarta:no_11" "weekquinta:no_11" "weekquinta:no_12" "weeksegunda:no_12" "weekquinta:no_13" "weeksábado:no_13" "weeksegunda:no_13" "weekterça:no_13" "weekquinta:no2_7" "weekquarta:no2_8" "weeksegunda:no2_8" "weekquinta:no2_9" "weekterça:no2_9" "weekquinta:no2_10" "weeksegunda:no2_10" "weekquarta:no2_11" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksegunda:no2_13" "weeksábado:CO_7" "weekquarta:CO_8" "weekquinta:CO_8" "weeksábado:CO_8" "weeksábado:CO_9" "weeksegunda:CO_9" "weeksexta:CO_9" "weekterça:CO_9" "weekquinta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weeksegunda:CO_11" "weeksábado:CO_12" "weeksegunda:CO_12" "weekquarta:CO_13" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonWinter:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter" "ONI:seasonSpring"
0 1 0 -0.89335433533068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.09168406850192 0 0 0 1.43123712221047 0 0 0 0 0 0 0 0.264217348307993 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.15649610244657 0.419747033028426 0.55390451441147 0 0 0 0 0 0 0 0 -0.449476951834504 0 0 0 0 0 0 0 0 0 0 -1.15649610244657 0 -1.05006420409713 0 0 0.576447924021466 0 0 0.61155329515675 0.70710427634277 0 0 0 0 0.32181689480657 0 0 0 0.575542857512066 0 0 0 0.173766070743357 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.27971327911195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.0746910598590195 0 0 0.192990365987935 0 0 0 0 0 0.193223776591062 0 0 0.353395585503245 0 0 0 -0.231384715048119 0 0 0 -0.226364578744769 0 0 -0.0746910598590195 0 0 -0.328906768835045 0 0 0 0 0 1.02358932972523 0 0 0 0 0 0 1.61866097607133 0 1.2521340357045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -0.422414109262161 0 0 0 0 0.0622910968153127 0 0 0 0 0 0 0 0.409305929328994 0 0 0 0 0.517985346192124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.983671724235442 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.024509209490225 0 0 0 0.120334937946423 0 0.259281875871845 0 0 0 0 0 0 0 0 -0.416852481236851 0 0 0 0 0 0.024509209490225 0 0 0 -0.475100243835873 0 0 0.602208286348906 0 0 0 0 0 0 0 0 0 0.769631434633552 0 0 0 0.984933127943014 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.240661375335421 0 0 0 0 0 0 0.912726587134677 0.731599510867971 0 0.585982615818359 0 0 0 -0.0403555694391422 0 0 -0.114294677414929 0 0.173807863693619 0 0 0 0 0 0 0 0 0 0.740863447154438 0 0 0 0 0 0.929351588210146 0 0 0 0 0 0 0 0.687012462867264 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 2.9054938740646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0176194442870201 0 0 0 0.06363867018585 0 0 0 0 0 0 0 1.81424212709992 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.21706047741769 -0.788240769075011 -1.17991885202091 0 0 0 0 0 0 0 0 -0.97652512629856 0 0 0 0 0 0 0 0 0 0 -1.21706047741769 0 -1.29881523273817 0 0 0.0681739507510871 0 0 -0.286749750305649 0.230377642893996 0 0 0 0 0.223798337855296 0 0 0 -0.667255468041504 0 0 0 -0.601789026317994 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.591517064823276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 3.0746564386391 0 0 6.09065565499978 0 0 0 0 0 8.3177302071002 0 0 15.1092535279948 0 0 0 1.3640719169029 0 0 0 3.42748266556483 0 0 3.0746564386391 0 0 7.27967211162204 0 0 0 0 0 5.38006606113603 0 0 0 0 0 0 3.60602478230772 0 1.26642102890916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -0.346186533867478 0 0 0 0 -0.670166898410604 0 0 0 0 0 0 0 -0.772266003521826 0 0 0 0 0.173428254675921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.36539572585876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 2.9128033675956 0 0 0 0.462148669051851 0 5.12634859103621 0 0 0 0 0 0 0 0 0.0679667672214136 0 0 0 0 0 2.9128033675956 0 0 0 4.41632857259309 0 0 2.20397657315354 0 0 0 0 0 0 0 0 0 0.298878526769173 0 0 0 1.0330532076074 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.976831795242973 0 0 0 0 0 0 0.627666813764985 0.958326196582801 0 2.65839269362611 0 0 0 0.948850784560373 0 0 0.935953226966074 0 0.842277739130472 0 0 0 0 0 0 0 0 0 2.53296591937666 0 0 0 0 0 1.63899761624378 0 0 0 0 0 0 0 2.28613936376571 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 1.03635195685252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.494823846512345 0 0 0 2.58373556891143 0 0 0 0 0 0 0 1.48386237498955 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.04267684603533 -0.61095928275949 -0.889752079282668 0 0 0 0 0 0 0 0 -0.575461593255191 0 0 0 0 0 0 0 0 0 0 -1.04267684603533 0 -0.853217917652842 0 0 0.472692884810301 0 0 1.73154697125341 0.548703094621771 0 0 0 0 1.62637243764142 0 0 0 -0.396653013415019 0 0 0 -0.351419890019081 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.100736784884908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.603003411800557 0 0 0.68309537435853 0 0 0 0 0 0.0153675072317253 0 0 -0.462895434352684 0 0 0 1.05712818689465 0 0 0 0.0646699248467862 0 0 0.603003411800557 0 0 -0.526314518517691 0 0 0 0 0 1.98224648159919 0 0 0 0 0 0 1.86195469699545 0 1.72213075660405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
