"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 0.757546989313064 0 0 0 2.06349096455325 0 0 0 0 0 0 0 0 -0.553318408804468 0 0 0 0 0.744419939344351 0 0 1.23603243766632 0 0 1.36122000757147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.0726026331358775 0 0 0 0 0 0 0 1.29353481335059 0 0 0 0 0 0 0 0.942963336432499 0 0 0 0 0 0 0 0 1.16530009733677 0 0 0 0.660755749151358 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.248030477879805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.909196177001253 0 0 0 0 0 0 0 2.3842299993489 0 0 0 0 0 0 0 0.522442824143949 0 0 0 0 0 0 0 0 0
1 0 -1.61072891472995 -0.114845976093573 0 0 0 -1.06299979141572 0 -1.12076230729818 0 0 -1.61072891472995 0 -1.43102542512613 0 -0.322515908231514 0 0 -0.220152488741319 0 0 0 0 0.118912238697246 0 0 0 0 0 0 0 -0.68092097257597 0 0 0 0 0 0 0 0 0 0
0 0 -1.53450133933527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -1.23585631792597 0 -0.40887498947972 -0.461024804176285 0 0 -0.456931664344604 0 0 -1.19951120012903 0 -1.23585631792597 0 0 0 0 0 0 0 0.760158518297399 0 0 0 0 0 0 0 -0.0639701716492073 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 -1.41232837603147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.000941390508663699 0 0 0 0 0 0.228791245201276 0 -0.314899663410537 0 0 0 0.0275968061989054 0 0 0 0 0 0 0 0
0 0 -0.822347826743853 0 0 0 -0.0152526135580424 0 0 0 0 0 0 0 0 -0.756313170270585 0 0 0 0 -0.0604052956659455 0 0 0.294485464205861 0 0 0.939009031755971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.771181372026874 0 0 0 0 0 0 0 -0.229147041253663 0 0 0 0 0 0 0 0.124824703875939 0 0 0 0 0 0 0 0 0.498043218557949 0 0 0 0.395294171110232 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.89335433533068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.992392484280341 0 0 0 0 0 0 0 1.43123712221047 0 0 0 0 0 0 0 0.264217348307993 0 0 0 0 0 0 0 0 0
